Ticker,Volume
SPY,21967830.0
HYG,15808538.0
QQQ,15468266.0
IWM,14213071.0
XLF,14114217.0
GDX,13054961.0
TLT,9542534.0
XBI,8593787.0
XLE,7139345.0
SCHD,6450106.0
GLD,5846197.0
XLV,5424644.0
LQD,5244226.0
ARKK,4855441.0
SLV,4760545.0
SOXX,4085201.0
VEA,4064359.0
BITO,3235588.0
VOO,3192458.0
SHV,2976157.0
IEMG,2959558.0
SMH,2924375.0
XLI,2901717.0
EFA,2589206.0
VWO,2534996.0
USO,2315567.0
BND,2292870.0
XLRE,2239411.0
VXUS,2060172.0
VTI,1710475.0
JEPI,1631213.0
EMB,1468725.0
XLK,1379235.0
XLY,1204849.0
XLC,922050.0
DIA,779723.0
